gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0003800.1	0	0
HORVU.MOREX.r2.1HG0003810.1	0	0
HORVU.MOREX.r2.1HG0003820.1	0	0
HORVU.MOREX.r2.1HG0003830.1	0	0
HORVU.MOREX.r2.1HG0003840.1	0	0
HORVU.MOREX.r2.1HG0003850.1	0	0
HORVU.MOREX.r2.1HG0003860.1	0	0.0283317
HORVU.MOREX.r2.1HG0003870.1	4.46978	6.04171
HORVU.MOREX.r2.1HG0003880.1	0	0
HORVU.MOREX.r2.1HG0003890.1	0	0
HORVU.MOREX.r2.1HG0003900.1	0	0
HORVU.MOREX.r2.1HG0003910.1	0	0
HORVU.MOREX.r2.1HG0003920.1	0.0263758	0.0631303
HORVU.MOREX.r2.1HG0003930.1	0	0
HORVU.MOREX.r2.1HG0003940.1	0	0
HORVU.MOREX.r2.1HG0003950.1	0	0
HORVU.MOREX.r2.1HG0003960.1	0	0
HORVU.MOREX.r2.1HG0003970.1	0	0
HORVU.MOREX.r2.1HG0003980.1	0	0
HORVU.MOREX.r2.1HG0003990.1	0	0
HORVU.MOREX.r2.1HG0004000.1	0	0
HORVU.MOREX.r2.1HG0004010.1	0	0
HORVU.MOREX.r2.1HG0004020.1	0	0
HORVU.MOREX.r2.1HG0004030.1	0	0
HORVU.MOREX.r2.1HG0004040.1	0.310779	0.152547
HORVU.MOREX.r2.1HG0004050.1	2.38984	3.53674
HORVU.MOREX.r2.1HG0004060.1	6.16919	11.1046
HORVU.MOREX.r2.1HG0004070.1	45.8595	58.2955
HORVU.MOREX.r2.1HG0004080.1	0.0623209	0
HORVU.MOREX.r2.1HG0004090.1	0	0
HORVU.MOREX.r2.1HG0004100.1	0.193803	2.00568
HORVU.MOREX.r2.1HG0004110.1	0	0
HORVU.MOREX.r2.1HG0004120.1	0	0
HORVU.MOREX.r2.1HG0004130.1	76.291	84.5936
HORVU.MOREX.r2.1HG0004140.1	0	0
HORVU.MOREX.r2.1HG0004150.1	0	0
HORVU.MOREX.r2.1HG0004160.1	0	0
HORVU.MOREX.r2.1HG0004170.1	0	0
HORVU.MOREX.r2.1HG0004180.1	0	0
HORVU.MOREX.r2.1HG0004190.1	0	0
HORVU.MOREX.r2.1HG0004200.1	270.122	195.918
HORVU.MOREX.r2.1HG0004210.1	5748.32	2814.52
HORVU.MOREX.r2.1HG0004220.1	0	0.104828
HORVU.MOREX.r2.1HG0004230.1	1.955	5.74583
HORVU.MOREX.r2.1HG0004240.1	11.1811	4.73219
HORVU.MOREX.r2.1HG0004250.1	0	0.00988108
HORVU.MOREX.r2.1HG0004260.1	0	0
HORVU.MOREX.r2.1HG0004270.1	0	0
HORVU.MOREX.r2.1HG0004280.1	0	0
HORVU.MOREX.r2.1HG0004290.1	0	0
HORVU.MOREX.r2.1HG0004300.1	0	0.207496
HORVU.MOREX.r2.1HG0004310.1	0	0
HORVU.MOREX.r2.1HG0004320.1	0	0
HORVU.MOREX.r2.1HG0004330.1	0	0
HORVU.MOREX.r2.1HG0004340.1	0	0
HORVU.MOREX.r2.1HG0004350.1	30.5284	45.5701
HORVU.MOREX.r2.1HG0004360.1	14.7245	20.3636
HORVU.MOREX.r2.1HG0004370.1	0	0
HORVU.MOREX.r2.1HG0004380.1	0	0.199667
HORVU.MOREX.r2.1HG0004390.1	0	0
HORVU.MOREX.r2.1HG0004400.1	0	0
HORVU.MOREX.r2.1HG0004410.1	3.53945	4.85462
HORVU.MOREX.r2.1HG0004420.1	0	0
HORVU.MOREX.r2.1HG0004430.1	0.914143	2.13296
HORVU.MOREX.r2.1HG0004440.1	15.6681	13.7381
HORVU.MOREX.r2.1HG0004450.1	0	0.0364029
HORVU.MOREX.r2.1HG0004460.1	0	0
HORVU.MOREX.r2.1HG0004470.1	0	0
HORVU.MOREX.r2.1HG0004480.1	0	0
HORVU.MOREX.r2.1HG0004490.1	0	0
HORVU.MOREX.r2.1HG0004500.1	0	0
HORVU.MOREX.r2.1HG0004510.1	0	0
HORVU.MOREX.r2.1HG0004520.1	0.0740496	0
HORVU.MOREX.r2.1HG0004530.1	0	0
HORVU.MOREX.r2.1HG0004540.1	0	0
HORVU.MOREX.r2.1HG0004550.1	0	0
HORVU.MOREX.r2.1HG0004560.1	0.088633	0.114916
HORVU.MOREX.r2.1HG0004570.1	177.039	267.366
HORVU.MOREX.r2.1HG0004580.1	0	0
HORVU.MOREX.r2.1HG0004590.1	0	0
HORVU.MOREX.r2.1HG0004600.1	0	0
HORVU.MOREX.r2.1HG0004610.1	0	0
HORVU.MOREX.r2.1HG0004620.1	3.74355	4.62449
HORVU.MOREX.r2.1HG0004630.1	0.182627	0.0777114
HORVU.MOREX.r2.1HG0004640.1	0	0
HORVU.MOREX.r2.1HG0004650.1	0	0
HORVU.MOREX.r2.1HG0004660.1	0.754094	2.27137
HORVU.MOREX.r2.1HG0004670.1	0.186263	0.307126
HORVU.MOREX.r2.1HG0004680.1	0.121726	0.176585
HORVU.MOREX.r2.1HG0004690.1	0.0629597	0.100457
HORVU.MOREX.r2.1HG0004700.1	4.2467	5.37074
HORVU.MOREX.r2.1HG0004710.1	0	0.577255
HORVU.MOREX.r2.1HG0004720.1	0	0
HORVU.MOREX.r2.1HG0004730.1	0	0
HORVU.MOREX.r2.1HG0004740.1	0	0
HORVU.MOREX.r2.1HG0004750.1	0	0
HORVU.MOREX.r2.1HG0004760.1	1.44591	0.94732
HORVU.MOREX.r2.1HG0004770.1	0	0
HORVU.MOREX.r2.1HG0004780.1	0	0
HORVU.MOREX.r2.1HG0004790.1	0	8.77714
HORVU.MOREX.r2.1HG0004800.1	0	2.21712
HORVU.MOREX.r2.1HG0004810.1	37.0332	74.6486
HORVU.MOREX.r2.1HG0004820.1	57.6124	65.249
HORVU.MOREX.r2.1HG0004830.1	2861.83	4402
HORVU.MOREX.r2.1HG0004840.1	16.3295	22.1858
HORVU.MOREX.r2.1HG0004850.1	1.07957	0.903559
HORVU.MOREX.r2.1HG0004860.1	1496.38	2478.6
HORVU.MOREX.r2.1HG0004870.1	16.4918	23.1496
HORVU.MOREX.r2.1HG0004880.1	0	0
HORVU.MOREX.r2.1HG0004890.1	0	0
HORVU.MOREX.r2.1HG0004900.1	25.3026	31.2103
HORVU.MOREX.r2.1HG0004910.1	38.3753	26.0459
HORVU.MOREX.r2.1HG0004920.1	5.86516	11.171
