gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000490.1	0	0
A.satnudSFS1A01G000491.1	0	0
A.satnudSFS1A01G000492.1	7	1
A.satnudSFS1A01G000493.1	178.643	136
A.satnudSFS1A01G000494.1	0	0
A.satnudSFS1A01G000495.1	0	0
A.satnudSFS1A01G000496.1	235.063	179.909
A.satnudSFS1A01G000497.1	1	6
A.satnudSFS1A01G000498.1	0	0
A.satnudSFS1A01G000499.1	0	14.693
A.satnudSFS1A01G000500.1	963.646	1074.917
A.satnudSFS1A01G000501.1	0	3
A.satnudSFS1A01G000502.1	266.637	169
A.satnudSFS1A01G000503.1	0	0
A.satnudSFS1A01G000504.1	144	92.001
A.satnudSFS1A01G000505.1	0	0
A.satnudSFS1A01G000506.1	16.536	12.92
A.satnudSFS1A01G000507.1	1249.02	1067.436
A.satnudSFS1A01G000508.1	0	1
A.satnudSFS1A01G000509.1	51.443	61
A.satnudSFS1A01G000510.1	54	64
A.satnudSFS1A01G000511.1	0	0
A.satnudSFS1A01G000512.1	23	22
A.satnudSFS1A01G000513.1	324.348	278.369
A.satnudSFS1A01G000514.1	0	0
A.satnudSFS1A01G000515.1	0	0
A.satnudSFS1A01G000516.1	36.149	34.373
A.satnudSFS1A01G000517.1	104.784	68.91
A.satnudSFS1A01G000518.1	0	0
A.satnudSFS1A01G000519.1	1	0
A.satnudSFS1A01G000520.1	3	6
A.satnudSFS1A01G000521.1	10	6
A.satnudSFS1A01G000522.1	0	0
A.satnudSFS1A01G000523.1	41	29
A.satnudSFS1A01G000524.1	358.995	296.674
A.satnudSFS1A01G000525.1	1018.377	778.108
A.satnudSFS1A01G000526.1	111.518	117.996
A.satnudSFS1A01G000527.1	329.276	152
A.satnudSFS1A01G000528.1	0	0
A.satnudSFS1A01G000529.1	0	0
A.satnudSFS1A01G000530.1	44.297	33.179
A.satnudSFS1A01G000531.1	0	0
A.satnudSFS1A01G000532.1	0	0
A.satnudSFS1A01G000533.1	0	0
A.satnudSFS1A01G000534.1	0	3
A.satnudSFS1A01G000535.1	5	3
A.satnudSFS1A01G000536.1	48	7
A.satnudSFS1A01G000537.1	237.744	261.528
A.satnudSFS1A01G000538.1	0	0
A.satnudSFS1A01G000539.1	0	0
A.satnudSFS1A01G000540.1	0	0
A.satnudSFS1A01G000541.1	0	0
A.satnudSFS1A01G000542.1	0	0
A.satnudSFS1A01G000543.1	0	0
A.satnudSFS1A01G000544.1	1	0
A.satnudSFS1A01G000545.1	28	38
A.satnudSFS1A01G000546.1	0	0
A.satnudSFS1A01G000547.1	33	34
A.satnudSFS1A01G000548.1	0	0
A.satnudSFS1A01G000549.1	0	0
A.satnudSFS1A01G000550.1	0	0
A.satnudSFS1A01G000551.1	272.268	205.594
A.satnudSFS1A01G000552.1	0	0
